created at,tweet,retweet,favorite,sentiment
2019-06-08 01:56:23,"Whether your industry is #education or #tech, find your customers before they start looking for you with Soundboard. https://t.co/2PF2Gvuoo6",0,0,neutral
2019-06-08 01:56:10,Classy Videos – Online Workshop with Tony Vincent — Learning in Hand w @TonyVincent https://t.co/w5OR39m0Vk #edtech #summerPD #education,0,0,positive
2019-06-08 01:55:06,"♥️ Please help me pay my summer tuition ♥️
SUPPORT SHARE RETWEET DONATE
#Tuition #Education #Support #Help #Donate… https://t.co/0C6NOI5pJP",0,0,neutral
2019-06-08 01:55:06,"🎯 Remembering the Life of our Father 🎯
Please help us honor one of my dad's last requests and his memory… https://t.co/zbkvrz500d",0,0,neutral
2019-06-08 01:53:08,"Social-emotional learning plays key role in trauma recovery, tragedy prevention https://t.co/Hhq85E5UB0 #education… https://t.co/hMogPjO314",0,0,neutral
2019-06-08 01:52:17,"""Do not panic. Organize"". https://t.co/Iv8gH05ltx
#leadership
#education https://t.co/tkByAw5kWo",0,0,neutral
2019-06-08 01:52:14,"I wish I lived a life where I could be a part of the solution to this.

But I struggle to understand why urban comm… https://t.co/gVN3mVnHsm",0,0,neutral
2019-06-08 01:52:01,Also excited to see what I can learn from others and bring that knowledge back with me to help in my endeavors!… https://t.co/oRKTS33TP7,0,0,positive
2019-06-08 01:51:06,https://t.co/qeFbpXMWag - Meet Surly. She's 7. Surly lives at our girl's orphanage in Guatemala. We're looking for… https://t.co/9JddxIbIQq,0,0,neutral
2019-06-08 01:50:42,IN THE NAME OF HATRED: #LGBT lesson row: #School staff have counselling over 'homophobic' protests in Birmingham… https://t.co/Ku9grG6lq1,0,0,neutral
2019-06-08 01:50:13,"@Chrinkus I teach anywhere from Grade 3 &amp; up. Most of my work is in the form of 2 hour workshops, only gonna do 1 f… https://t.co/XpHJnlx3Gw",0,0,positive
2019-06-08 01:50:07,"♥️ Help Fund Kayla's College Tuition ♥️
HELP SHARE RETWEET SUPPORT
@kaaayllaa6 #Education #Support #Help #Donate… https://t.co/gFm8xBcrBD",0,0,neutral
2019-06-08 01:50:04,With @NAG4DNT #GroundLevelPanel of #nomadic  and #denotifiedtribes shared their #livedexperience of #stigma and… https://t.co/rT8bqAirXS,0,0,neutral
2019-06-08 01:46:52,"People spend 10k visiting Disney on average and in my opinion, your children would benefit from visiting a farm. Le… https://t.co/8rw0gb3T3G",0,0,negative
2019-06-08 01:46:07,#virtualreality in #education for #bangalore https://t.co/jfUVlZYVjk,0,0,neutral
2019-06-08 01:45:57,In @ShikshaGiri2016 children from different backgrounds who had experienced marginalisation in #education came toge… https://t.co/hxhs1RSyVM,0,0,positive
2019-06-08 01:45:07,My son graduated from Laurentian University today!  Next stop for him will be the university of Moncton where he wi… https://t.co/i1Ig2CITVI,0,1,neutral
2019-06-08 01:44:18,"And #Caitlin from @LuvAfterLockup, please tell me you've moved on to better &amp; healthier guys? Here's a clue: if the… https://t.co/sbgQeGQt4W",0,0,positive
2019-06-08 01:44:12,Looking for some fun and easy learning?  Check out our podcast https://t.co/22b3QcH5uI #edchat #iaedchat #educoach… https://t.co/6QMPiS7KAg,1,0,positive
2019-06-08 01:44:01,on vacation.....old school learning. #stem #education #kindergarten #singapore https://t.co/IbnfZbjpf6,0,0,neutral
2019-06-08 01:43:27,"@celliottability @fordnation @OntarioPCParty You're damaging #education, poor people, people with disabilities, etc… https://t.co/XmLB5g5AQu",1,4,negative
2019-06-08 01:43:23,#UniversityOfTheMind #MagicTheater - Teaching #students how to learn is far better than #teaching them what to… https://t.co/YWzbAS0ijL,10,10,positive
2019-06-08 01:42:52,"#Education system...
What a reason behind that people want to study his children in private school...
Day by day st… https://t.co/hbOcXDlK91",0,1,negative
2019-06-08 01:42:05,Free Mini-Course [The Six Video Components]: The Replay of a 7-Day Mentorship Program that taught how to create a B… https://t.co/LSwYIo49zz,0,0,positive
2019-06-08 01:41:25,"Because the indefensible doesn't stop the colonizers from trying. 
#MMIWG MMIWG2S #CDNPOLI #CDNMEDIA #EDUCATION… https://t.co/0B3NTmxFAT",5,7,neutral
2019-06-08 01:40:32,When you wish you had time to lie on a beach instead of #teaching another class... #education https://t.co/Qu9GcAPziW,1,0,neutral
2019-06-08 01:38:13,"""When you stop avoiding conflict &amp; difficulty in life, brick-by-brick you´re tearing down a wall of fear"".-B.Burcha… https://t.co/WfsYa2DmW6",0,0,negative
2019-06-08 01:38:02,Teach English abroad! For more information or to find out which of our programs is right for you visit us at… https://t.co/Q1M9vfSftE,0,1,positive
2019-06-08 01:36:37,"‘As an International Baccalaureate World School, our Physical Education (PE) curriculum supports the attributes of… https://t.co/YwM6gX2cQ3",0,0,neutral
