created at,tweet,retweet,favorite,sentiment
2019-06-07 08:52:44,EU Remainers’ True Agenda Exposed https://t.co/9mZIgCa4ip #Twitter #Love #Light #Politic #WWG1WGA #Trump via @YouTube,0,1,positive
2019-06-07 08:31:53,"@AsoRock @AIT_Online @RaypowerNetwork @nbcgovng You are not in position to post this, it shows that this is more th… https://t.co/9vJCZU8UpJ",1,2,positive
2019-06-06 21:57:17,The First Time: Kiefer Sutherland https://t.co/DaGYx8mBxY via @RollingStone @designatedsurvivor (tomorrow on… https://t.co/kewhaimKj5,0,6,positive
2019-06-06 19:10:21,"Check out the LA Times piece on #DesignatedSurvivor. We're on tomorrow June 7 on #netflix. 
https://t.co/TLmjxnu2nM… https://t.co/KsYbWk8T40",0,3,neutral
2019-06-06 06:33:35,Must read #EidDayViolence #islam #Tweet #politic https://t.co/U26NwxG989,0,0,neutral
2019-06-06 02:43:04,"It is amazing, I started following #politic at a young age and never in my life have I seen #USGovt ever get so lit… https://t.co/1xtC9kVmaW",0,0,positive
2019-06-05 15:41:43,My take on the @PeteButtigieg + @MSNBC townhall that happened on Monday. @Fresno_State https://t.co/1hD8FwG24X #politic,0,0,neutral
2019-06-05 14:48:02,"Cyprus is a country divided in two by the green line and its capital, Nicosia, is the only capital in the world sti… https://t.co/MxWUiXw30y",0,0,negative
2019-06-04 12:35:02,Transmission Three with Ross Norman #Politic Brand: Politic Brand – Ross Norman for Politic Skateboards with specia… https://t.co/14Gqa6gh35,0,0,neutral
2019-06-04 11:09:00,"Coming this Friday, June 7 on #netflix! Ten new #episodes. #politic #president Got questions?  Ask! @NealBaer https://t.co/E3fIxRwlxC",1,22,positive
2019-06-04 06:30:47,"#agostinoscovoli #medico #casaloldo #giornalista #politica #portomantovano #mantova #lega

#giornalisti in piazza R… https://t.co/9Rrwu3Tahp",0,0,neutral
2019-06-04 05:29:23,"#agostinoscovoli #medico #casaloldo #giornalista #politica #portomantovano #mantova #lega

#giornalisti in piazza R… https://t.co/GUiBqA3Ah7",0,0,neutral
2019-06-03 23:05:29,"@CNN this is #politic it's not a/b #HumanRight 
how do U supporting a movement that wants to legalize an act to tak… https://t.co/UJNNSqnGeX",0,0,positive
2019-06-03 20:31:28,Nation State Violence Againest its own Citizens is the Worst! It is Structural Violence &amp; reflects the Worst form o… https://t.co/L0qkiBQ7Xb,0,1,negative
2019-06-03 12:48:55,My #klimatosse design on a shirt 👕 printed by the great @garage6 🙌 Grab your own klimatosse shirt for only 100kr +… https://t.co/gbXKMKHEAj,1,1,positive
2019-06-03 05:32:46,"@NawaNasrin It is a indefinite destiny, what is make anarchy; day by day, we decide to leave hometown.

#Law sacrif… https://t.co/s4IFoQxgej",0,1,neutral
2019-06-02 22:18:11,By the way I joined a political party to raise my voice and I hope I can make my voice and the voice of many young… https://t.co/QazZmq5h1p,0,1,positive
2019-06-02 09:17:09,"Photo By waynomac79 | Pixabay 
 #parliament #london #thames #politics #camo #politiek #ukpolitics #congress… https://t.co/FKt7QEj2Jf",0,0,neutral
2019-06-01 09:03:50,"During MR period, media was given less freedom to telecast unbiased and factual news. In this Yahapalana regime, mo… https://t.co/63Hanvm5UI",2,13,negative
2019-06-01 06:41:01,Booker Urges Dems on ‘Larger Fight’ to Cut Prison Population https://t.co/Y4VqOza0uv  #politic #political #cory2020… https://t.co/uhg2uR8FCE,1,1,neutral
2019-06-01 00:48:45,"#Muslim
#Religion &amp; #Politic
I'm not nobody just:
Ex Warrant Officer (WO YoS anlyStrategic SD * special duty) (B).… https://t.co/dOhy3L3RS3",0,0,positive
2019-05-31 10:04:47,"If you repeat a lie often enough, it becomes Politic! #graffiti #politic #lie  #nottrue #hamburg https://t.co/rJCYeSb9E4",1,1,neutral
