created at,tweet,retweet,favorite,sentiment
2019-06-08 02:47:22,1PC Aquarium Fish Tank Clip Lamp Light White Blue Color Lighting Ornament Decor EU Plug https://t.co/N2IdCliTPh… https://t.co/R9AhvpVWGh,0,2,positive
2019-06-08 02:46:51,"Part of Team NB competing in the Nova Scotia 4* ATA event! Great team and great atmosphere! 🎾🔥.

#tennisnb… https://t.co/oj6zLWnRDw",0,0,positive
2019-06-08 02:44:12,"When you cross a street in India

Read more: https://t.co/BOLpvFxLf0

#funny #meme #facts #news #viral #trending… https://t.co/6e4dxXnTXo",0,2,positive
2019-06-08 02:43:59,Summer female T-shirt Top Short Sleeve O-neck Fashion Russian Letter Inscription Print Casual T-shirts women tshirt… https://t.co/NTvSIi5EyQ,0,0,negative
2019-06-08 02:41:24,"Set the bush on fire 🔥 
#cars #addict #sport #luxurious #Speed https://t.co/toLbej8uRN",0,0,neutral
2019-06-08 02:41:00,1 Pc Power Floss Water Jet Cleaning Tooth Mouthpiece Clean Oral Hygiene Floss Dental Whitening Mouth Denture Cleane… https://t.co/1DMjVgT0K2,0,0,positive
2019-06-08 02:39:11,"French Open 2019: Ashleigh Barty and Marketa Vondrousova in unlikely final - https://t.co/dJBKj0wyNp
#LiveSportToday #Sport #Scores",0,0,negative
2019-06-08 02:38:25,KLAY THOMPSON Golden State Warriors Basketball #NBA Wesatern - T-shirt https://t.co/GtZ1WlxNB9 #sport https://t.co/RrVgzDPuz8,1,1,positive
2019-06-08 02:35:57,As they say back East - it’s a real SCOYCHA out THEYA tonight. Thank goodness  for #beer!  Staying down south tonig… https://t.co/fm1DHTWfOS,0,1,positive
2019-06-08 02:28:56,"List the Top 5 defenses entering the 2019 NFL season.

Who makes your list?

#nfl #nflnews #nfllive #nflupdates… https://t.co/S9LuwZcp3n",0,1,positive
2019-06-08 02:26:04,Sport:Belmont will bring end to entertaining Triple Crown: NEW YOR-- https://t.co/ZV2dJDSJqm #sport https://t.co/3V8fJOiS0m,0,0,positive
2019-06-08 02:25:04,"Basketball: Raptors vs. Warriors - Live score, updates, highlights.. https://t.co/fdIUYbpOVE #sport https://t.co/9dQESIwINg",0,0,positive
2019-06-08 02:24:47,"☄️I want it, I got it, I want it, I got it🏃🏻‍♀️
🌌Friday night power💪🏽

💪🏽🗻 #God #Dios #happiness #felicidad #sport… https://t.co/5zihDh5m1u",0,0,positive
2019-06-08 02:23:13,"Congratulations Jared O’Riley who placed 4th at OFSAA 🎉
Track and field - javelin 
@CollegeavenueSS @OFSAA #proud… https://t.co/T40Vn3oIb6",0,0,positive
2019-06-08 02:19:04,#triathlon #sport #fixie Comfortable UV-Resistant Elastic Men's Cycling Pants https://t.co/uceS5HtU60,1,0,positive
2019-06-08 02:18:53,"The 2019 Ranger Rover Sport HST has some performance bits, but is it enough for the price? Get to Raiti’s Rides to… https://t.co/s3DITWwNlq",0,0,neutral
2019-06-08 02:17:16,"The 2019 Ranger Rover Sport HST has some performance bits, but is it enough for the price? Get to Raiti’s Rides to… https://t.co/9LQcvEKomi",0,0,neutral
2019-06-08 02:14:51,🗣 I Updated My Website https://t.co/7jNEt6Q8cZ or Click The Link in The Bio❗️🔥🔥🔥 #hiphop #rap #rapmusic… https://t.co/K9XSLhopFI,1,0,neutral
2019-06-08 02:14:12,"Cooking skills

Read more: https://t.co/65g6GR3x5C

#funny #meme #facts #news #viral #trending #fortnite #F… https://t.co/NUMzRKdgfY",1,1,positive
2019-06-08 02:14:01,#WTF What The #Fuck #LOL #Fun #Sport #Crossfit #Gym #Fitness #Workout #Running #Cycling #Tanktop… https://t.co/DoJ7euiSYu,1,0,positive
