created at,tweet,retweet,favorite,sentiment
2019-06-08 01:32:01,"TurnedOnTimesView v1.41- Shows the times your computer was turned on/off. https://t.co/FJkxxd1Vw7

#computers… https://t.co/qnwQnRJ7aW",1,1,neutral
2019-06-08 01:31:50,"malaysia truly ugly-pls do not visit the most ugliest  country,MALAYSIA,in the world,pls do not visit Sarawak,pls d… https://t.co/G5XvbAvhpD",0,0,positive
2019-06-08 01:31:22,Maker Faire halts operations and lays off all staff https://t.co/x3PVAPtyRG via @Techtipsloud #Wow #Tech https://t.co/FV6yLomRUs,0,0,positive
2019-06-08 01:31:14,"Review: WaterField's Tech Rolltop Backpack is a pricey, durable status symbol - https://t.co/S0RMhg29vm  #Tech https://t.co/LS8wo9sLxT",0,0,neutral
2019-06-08 01:30:36,2 in 1 Multifunction Hard Car Window Seat Safety Security AUTO Emergency Escape Life-Saving Hammer Belt Cutter Tool… https://t.co/z9L4xPu1pw,0,0,negative
2019-06-08 01:30:31,Kids Girls Cardigan Sweater 2018 Girls Sweaters Casual Solid Long sleeve baby girl knitted cardigan sweaters for gi… https://t.co/xm3ntWzDyk,0,0,negative
2019-06-08 01:30:07,Reinforcement learning allowed AlphaGo Zero to master the game of Go unlike anything before it — the tech is becomi… https://t.co/ub2Vzk893g,0,0,negative
2019-06-08 01:30:00,"Check out. Why Facebook Provides Scale, but Instagram and Pinterest Offer Relevance for Social Commerce… https://t.co/9yheIOdeDQ",0,0,positive
2019-06-08 01:28:52,ARCOLINUX 19.6 releases: Arch Linux based distro https://t.co/5bR2jM1kuW #info #news #tech,0,0,neutral
2019-06-08 01:28:29,@TrendMicro: Prepare for the age of #IIoT security #trendMicro https://t.co/h30jyekpyL #business #entrepreneur… https://t.co/8hxCwTiTXu,10,2,neutral
2019-06-08 01:28:26,ONLY FOOLS RUSH IN - EMOTIONAL SPONTANEITY WITHOUT INTUITION'S INSIGHT &amp; WISDOM IS A QUICK WAY TO GO BROKE - JesusC… https://t.co/OiZSUYOXtj,6,3,positive
2019-06-08 01:27:46,"""3 MAJOR BENEFITS 
OF ONLINE MEETINGS
&amp; CONFERENCES"" 

https://t.co/ePahDS3nRY     
((Triple Bottom Line))… https://t.co/4Vpf70FIDY",1,1,positive
2019-06-08 01:27:05,Tech&gt;Google looking to sign lease at new office space in Toronto &gt; G..https://t.co/d08ztNHXHv #tech https://t.co/RcAwx06cqE,0,0,positive
2019-06-08 01:27:05,Red Hat Enterprise Linux 7.7 Beta Released https://t.co/8kVGrrIPnD #info #news #tech,0,0,neutral
2019-06-08 01:26:27,Top from #cloud #tech experts Top 3 Reasons to Attend SkyKick's Migration Suites Demo Day Webinar | SkyKick… https://t.co/k9wttZePCk,0,0,positive
2019-06-08 01:26:11,"🔥 2 pack Serta Memory Foam Pillows for only $12!

https://t.co/EHygWIkuVH

#geek #deals #tech #gamedev #home #decor… https://t.co/zuBvEHkVsX",2,0,neutral
2019-06-08 01:25:23,#tech #gadgets Waterproof Travel Storage Bags for Shoes https://t.co/pchFqQHGkw,0,0,neutral
2019-06-08 01:25:16,5 Ways to Remove Trailing JSON Comma In While Loop PHP - https://t.co/BA1zNBRPjQ   #Developer #node #nodejs #coding… https://t.co/39GklKRP3U,3,1,neutral
2019-06-08 01:25:05,Having a great time at the @techstars #SmartCities event in downtown #SanAntonio. I 💜 the #tech scene here. So supp… https://t.co/c87UVEWBTK,0,0,positive
2019-06-08 01:25:03,5 Keys To Relying On Intuition In Business Decisions https://t.co/4EAkrUja8N via @AlleyWatch #tech,0,0,neutral
2019-06-08 01:23:28,Where in the world are the tech industry and the younger generations going? How do you imagine the younger generati… https://t.co/UuUjovjIHg,0,0,neutral
2019-06-08 01:23:11,"Soon, executives will need to closely consider the way they use their #digital dollars. #tech https://t.co/oYqn7lh71L",0,0,neutral
2019-06-08 01:23:00,How Kate Walsh Brought Back Her Boyfriend Perfume Brand Nearly 10 Years After Its Debut via Diana Pearl… https://t.co/N2AfC2TKa7,0,0,positive
2019-06-08 01:23:00,"IPFire 2.23 - Core Update 132 released, Linux distribution https://t.co/9UOAGZE4iU #info #news #tech",0,0,neutral
2019-06-08 01:22:42,#gaming|#gamingaccessories|#tech|#computing Portable Travel Bag for Nintendo 3 DS https://t.co/Fc3Ra71OoE,0,0,neutral
2019-06-08 01:19:36,THERE'S MANY VARIBLES IN DECISON MAKING - OBSERVE THE INFORMATIVE MATERIAL - THEN LOOK TO YOUR INTUITION - JesusChr… https://t.co/N1cTZC8SB4,7,3,positive
2019-06-08 01:19:09,Happy Birthday BGP https://t.co/qGItYqYBAJ #IoT #IPv6 #M2M #InternetOfThings #tech #IoE #news,1,0,positive
2019-06-08 01:18:04,"https://t.co/oeM2jmIWCv - How a rule, allowing US companies to apply for exemptions from the Huawei ban, was create… https://t.co/6CKqcKf9Vz",0,0,neutral
2019-06-08 01:17:11,Silicon Valley’s billionaires aren’t all working at tech companies - #investing #realestate #siliconvalley #tech… https://t.co/0uijfzaLvn,0,0,neutral
2019-06-08 01:16:51,"🔥 Best Price!

Case for iPad Air 3 (10.5-inch 2019) and iPad Pro 10.5 with Auto Wake &amp; Sleep only $8.99!… https://t.co/YjFhOJv23E",0,0,positive
2019-06-08 01:16:46,Android Studio 3.6 Canary 3 &amp;  3.5 Beta 4 Releases: Fix bugs https://t.co/F77rsQYyvr #info #news #tech,0,2,neutral
2019-06-08 01:16:42,Number Machine 6 position automatic numbering machine into the number coding Page Chapter marking machine digital s… https://t.co/o23yyZe7Dv,0,1,neutral
2019-06-08 01:16:20,Ars Technica Tech reporter charged with soliciting child sex online via /r/technology https://t.co/Q1Dnpy6eQ1 #tech #new #trends,0,0,positive
2019-06-08 01:16:19,Got a tech question or want to discuss tech? Weekly /r/Technology Tech Support / General Discussion Thread via /r/t… https://t.co/ZDxq8YYyo4,0,0,positive
2019-06-08 01:16:05,"🔥 Best Buy!

Apple iPad (Wi-Fi, 32GB) - Silver (Latest Model) for $231!

https://t.co/yva4uviaXk

#geek #deals… https://t.co/YWYjoS5cKT",1,0,positive
2019-06-08 01:15:00,"I just completed Day 21 of the 21DayCkChallenge. Learning ""You Made it!"". Join me on https://t.co/wQRPP6AUjV… https://t.co/4jpx5KXYsm",0,2,neutral
2019-06-08 01:14:18,"Another win for the Home team. 🙌🙌🙌

#youshouldlivehere #coloradosprings #relocateyourcompanyhere #wehavethetalent… https://t.co/MhWa1qxQpu",0,2,positive
2019-06-08 01:14:06,"At A Glance – Mesh Network 

Connecting devices directly to each other for scalability and resilience -… https://t.co/bVGhoKUmeQ",1,0,negative
2019-06-08 01:14:05,"@mandahill yes everyone needs #tech &amp; #negotiation skills, in every profession. I try to sneak in a bit of #python… https://t.co/bGAUvnRKuH",0,1,neutral
2019-06-08 01:13:28,#tech|#electronics|#computers|#gadgets High-tech Arrival 2122mm Skywalker Black x-8 FPV EPO Large Flying Wing Airpl… https://t.co/YnIeewLswa,0,0,positive
2019-06-08 01:12:56,LEADERSHIP #Breaking #breakingnews #france24 #RTnews #nhk_news #AlJazeera #bbc #bbcnews #tech #Android #npr… https://t.co/eCibHNGTht,1,0,neutral
2019-06-08 01:12:09,"How a quantum computer could break 2048-bit RSA encryption in 8 hours 

https://t.co/UWRLY0TQWG… 
#Tech… https://t.co/M1K7UaGwVL",0,0,neutral
2019-06-08 01:12:04,Uber chief tightens grip with top execs’ departures https://t.co/AYCpH5R4FZ #Tech #Internet #Transport,0,0,positive
2019-06-08 01:11:09,Maker Faire halts operations and lays off all staff https://t.co/OirtnybDtb #tech #gadgets,0,0,neutral
2019-06-08 01:11:09,@ISARACorp @BlackBerry secure.  #tech https://t.co/RJXZiYKbEH,0,0,positive
2019-06-08 01:08:18,"What's on the #EmergingTech #Summer reading list? If I'm into #VR, #AR, #XR, and cutting edge #tech, what's my beac… https://t.co/YsakGOFgJM",0,0,negative
2019-06-08 01:08:06,"Join 7 people right now at ""Lyft's Lawsuit Against San Francisco Is Bigger Than Bike-Share"" #cheers #technology… https://t.co/1HUAFuH6B8",0,0,positive
2019-06-08 01:07:34,IF YOU'RE LOOKING FOR REASONS TO QUIT YOU'LL FIND THEM - CONSIDER PUTTING THE SAME EFFORT INTO FINDING SOLUTIONS -… https://t.co/xu8dqK3xvf,4,1,neutral
2019-06-08 01:07:01,"George R.R. Martin’s next project is reportedly the video game, Elden Ring https://t.co/ULimoOWCSs #tech #business… https://t.co/gWw7QeDxKG",0,0,negative
2019-06-08 01:06:10,Splitgate: Arena Warfare Review - #followForMore #videos - https://t.co/Fu8kZPl225 - #Tech #Technology #Web #App… https://t.co/lyb504meEr,0,0,neutral
2019-06-08 01:06:09,"Interesting... The deep learning dive: how cells regulate division - EurekAlert

#tech #technology #datascience… https://t.co/lEjlXhNNYQ",2,1,positive
2019-06-08 01:05:48,The First 16 Minutes of Journey Gameplay on PC - #followForMore #videos - https://t.co/y0Ya6KkYtM - #Tech… https://t.co/Jc7u0N615o,0,0,positive
2019-06-08 01:05:38,1 Piece Popcorn Maker DlY Collapsible Silicone Microwave Kitchen Bakingwares Hot Popper Bowl folding Silicone Popco… https://t.co/eGdlp3Om5p,0,1,positive
2019-06-08 01:05:36,"AI, piracy and Game of Thrones

""Never has a final episode been less pirated than it's premiere""
#tech #AI #GoT https://t.co/ucT8OrHJo8",0,1,negative
2019-06-08 01:05:30,Pokemon Sword and Shield Direct Trailer Breakdown - Rewind Theater - #followForMore #videos -… https://t.co/yPhDUYFKFH,0,0,positive
2019-06-08 01:05:00,NPR News: 'Do I Know You?' And Other Spam Phone Calls We Can't Get Rid Of https://t.co/gpMoYNkUU7 #tech,0,0,negative
2019-06-08 01:04:02,"#tech #advice A peek inside Sequoia Capital’s low-flying, wide-reaching scout program https://t.co/Tsjp8Qz2er",0,0,neutral
2019-06-08 01:04:00,"The Art of CISO - Master of Warfare by Tommy Babel https://t.co/mka1kk6P95 

#infosec #hacking #hackers #Pentesting… https://t.co/G5Z95Kuujp",3,1,neutral
2019-06-08 01:04:00,The week in IR: From Woodford’s ills to issues of a Sanders presidency | IR Magazine https://t.co/h4jmjfePpm… https://t.co/ibtIwyU7qx,0,0,neutral
2019-06-08 01:03:37,"https://t.co/ULQsJvKejn - a short &amp; catchy domain for a #brand, #business or #website. BUY IT HERE… https://t.co/b0eE5Jswa3",0,0,neutral
2019-06-08 01:03:08,The makers of Duet Display and Luna on life after Apple’s Sidecar https://t.co/iWqo7ZqnyH #Apple #Tech,0,0,neutral
2019-06-08 01:02:43,"'The only people who call their customers ""users"" are software developers and drug dealers.' | #tech #business",0,0,neutral
2019-06-08 01:02:04,Hey @POTUS it’s me again! The #tech nation needs a little wake up on censorship of conservatism. We the #Replublic… https://t.co/nXMjkv0DLw,0,0,negative
2019-06-08 01:02:00,Hands-on at Vive X: An Enterprise Focused Future - https://t.co/hl6ESxrYbl  #Tech https://t.co/Bq4EHfbRKe,0,0,neutral
2019-06-08 01:01:09,Don't be blue; Breaking Bad: Criminal Elements is now available on iOS and Android - https://t.co/mKtfbVKXHI  #Tech,0,0,negative
2019-06-08 01:00:54,Here’s our advice and top six steps to help maximize your #PR efforts at @CES: https://t.co/CtrUWHZl5d  #CES2020… https://t.co/DGFUP5WuKz,0,0,positive
2019-06-08 01:00:51,How to Fix A Common Leadership Mistake Almost All Founders Make https://t.co/9k4htKBQ7M #startups #startuplife… https://t.co/Dph9ZjvQiy,0,1,negative
2019-06-08 01:00:48,“Want to Become a Successful Tech Company? Be Boring!” https://t.co/uAthC6pD7n @Entrepreneur #Tech #BOSSTip,0,0,negative
2019-06-08 01:00:45,3m*5cm Bicycle Reflector Sticker Bike Bicycle Sticker Cycling Wheel Rim Reflective Stickers Reflective Film Sticker… https://t.co/uZMTw3mPP1,0,0,neutral
2019-06-08 01:00:42,"The creator of Nintendo’s Doshin the Giant really likes Grand Theft Auto

https://t.co/IbfYygA61R

Don't forget to… https://t.co/62LDhzwjtf",0,0,positive
2019-06-08 01:00:10,"The DC Circuit sided with #Google in a case over an alleged conspiracy involving fake listings for locksmiths, but… https://t.co/5f9fDQegrb",1,0,negative
2019-06-08 01:00:01,Learn out. SEC Chairman: Other Market Protections Needed Before Bitcoin ETF Approval https://t.co/U45ciLXqbJ via… https://t.co/0bpeNxkSnS,0,0,negative
2019-06-08 00:59:07,"Want to work in Anaheim, CA? View our latest opening: https://t.co/thNPQ7f6jI #edtech #tech",0,0,positive
2019-06-08 00:59:01,"For less than $10, anyone can make an AI write a fake UN speech https://t.co/UKoupWZECE #tech #marketing #technews https://t.co/XUwZAQwIOa",0,0,negative
2019-06-08 00:58:27,#mensfashion|#womensfashion|#tech|#lifestyle Practical Holder Silicone Mat Pad Thicken Tool Non-Slip Tamping Durable https://t.co/VKaw3WdGf5,0,0,neutral
2019-06-08 00:58:14,"#ERP #tech RT vision33_SAP: #Distribution, #manufacturing, #EDI, #ERP, #automation, connecting the global… https://t.co/kjm1E3Y8D3",0,0,neutral
2019-06-08 00:58:13,#clothing|#fashion|#tech|#lifestyle Auri Muffy 2016 cheap bra nursing bra pregnant women underwear maternity bra cu… https://t.co/4CPVnowFKr,0,0,positive
2019-06-08 00:57:05,"#Stayinformed #technology In the new Aggretsuko season 2 trailer, Retsuko's gonna have it all (or at least try to)… https://t.co/nOAMaSE8Ve",0,0,negative
2019-06-08 00:57:04,#Stayinformed #technology .@YouTube is banning extremist channels from its platform. #DTLive… https://t.co/2qBTaFRfke,0,0,neutral
2019-06-08 00:56:51,"Over 50% of the planet’s #population is now #online, a mere quarter of a century after the web first took off among… https://t.co/D2RsMLvvyD",0,0,negative
2019-06-08 00:54:41,"Lace Women's Panties https://t.co/1vGtvky9vO
#fashion|#tech|#entertainment|#lifestyle https://t.co/KfbAlpZg1f",0,0,neutral
2019-06-08 00:54:01,[#TUTORIAL]: Getting Started with #jQuery (Part 1): How to Manipulate the #DOM @AlvinLoh19 via @iC0dE_… https://t.co/E6NehjyIEc,5,2,neutral
2019-06-08 00:52:52,2018 windbreaker male Korean version of the new long coat Coat Slim student handsome cloak thin coat… https://t.co/IpqbktvZuz,0,0,positive
2019-06-08 00:52:21,"Top 5 Home Renovation Magazines, Publications &amp; Ezines To Follow In 2019 https://t.co/oTX3uHLWhI #Tech #News",0,0,positive
2019-06-08 00:52:17,"#Stayinformed #technology A peek inside Sequoia Capital’s low-flying, wide-reaching scout program… https://t.co/RR2yaYf5wA",0,0,neutral
2019-06-08 00:52:17,"#Stayinformed #technology Man sues Jaguar claiming automatic door on $96,000 car severed his thumb [warning: graphi… https://t.co/whI7F5xiBe",0,0,neutral
2019-06-08 00:52:16,#Stayinformed #technology That's one of the best deals to date on the current-gen 11-inch iPad Pro.… https://t.co/XrPia4Nr10,0,0,positive
2019-06-08 00:52:16,Set #goals and work daily to achieve it. #YouCanNeverHaveTooMany #quoteoftheday #dailyquote #tech #innovation… https://t.co/D0igdK19I7,0,1,neutral
2019-06-08 00:52:16,"#Stayinformed #technology If you shop Big &amp; Tall stores, no worries about fitting in the @Rivian R1T pickup. It's S… https://t.co/XZbAkbqg2V",0,0,positive
2019-06-08 00:52:15,#Stayinformed #technology Check Out This Tesla Model 3 Hands-Free Power Lift Gate https://t.co/7lr0Oq2cXh via… https://t.co/O4cmg9f8Kk,0,0,neutral
2019-06-08 00:52:14,"#Stayinformed #technology Get those pre-orders in STAT https://t.co/lcEBh3gi1c via - @mashable

-

#tech, #technews https://t.co/M4y8bdPgnh",0,0,neutral
2019-06-08 00:51:31,#Tech most influential: Basecamp is hiring a Head of Marketing - Signal v. Noise https://t.co/nKAQT8iCQv https://t.co/A7AVxd0sMw,0,0,positive
2019-06-08 00:51:04,"All-New Amazon Fire 7 Tablet (2019) Review - https://t.co/78vMAzT7Nc

#amazontablet #amazonfire7 #amazonfire #tech… https://t.co/OwN3dEpJ0r",0,0,neutral
2019-06-08 00:49:25,Our Online Mentor applications are now open! Men &amp; women with diverse backgrounds in #tech should apply. Learn more… https://t.co/RCSNEPKlra,3,3,positive
2019-06-08 00:49:10,Chess Game Table Portable Wooden Chessboard Folding Board Chess Game for Party Family Activities With Latch for Eas… https://t.co/gGdHLfSJda,0,0,negative
2019-06-08 00:49:00,Drone deliveries - FAA Approves Google Drone Startup Wing for Commercial Package Delivery https://t.co/JHb4DohMN7… https://t.co/9GYLEjXxkw,0,1,neutral
2019-06-08 00:48:23,Chatting regulation slowdown for big #tech M&amp;A with the epic @PowerLunch squad  https://t.co/28LnqnHBf3,3,14,positive
2019-06-08 00:47:35,"A peek inside Sequoia Capital’s low-flying, wide-reaching scout program https://t.co/phIV3Zp2KS #tech #teamlogicit… https://t.co/ERd8TlSn3c",0,0,neutral
2019-06-08 00:47:00,DYK @googlecanada merged with Nest to create @googlenest and their first product is the home Hub? Wondering what it… https://t.co/jt4abLKCD2,0,1,positive
2019-06-08 00:45:04,"I ♥️ sharing scoop! (and new episode dets): Introducing Caregiver Smart Solutions, a new and more meaningful way to… https://t.co/NJc1Fi577i",0,1,positive
2019-06-08 00:45:03,Help businesses implement technology solutions in a cost-effective way! Apply now as a Business System Analyst. 👉… https://t.co/HwHpVLkUAd,0,0,neutral
2019-06-08 00:44:00,5G is at the center of America's beef with Huawei -- here's why it's such a big deal https://t.co/eCEOYJSvq9 #tech… https://t.co/fRa5BwI5Ll,0,0,negative
2019-06-08 00:42:21,Google: Cutting us off from Huawei is a security risk https://t.co/m3Fz6TMsMx #tech #news #smallbiz https://t.co/8Lar5ds4F5,0,0,negative
2019-06-08 00:42:21,"Top 10 Electronics Magazines, Publications &amp; Ezines To Follow In 2019 https://t.co/Oz5mjkzzLk #Tech #News",0,0,positive
2019-06-08 00:41:48,Updates on #Innovation RT @WiproDigital: This chart shows every major #tech #innovation in the last 150 years &amp; how… https://t.co/3Cbcg9gC1o,0,0,positive
2019-06-08 00:41:46,"“Water is rocket fuel ... the universe has provided,” says @torybruno of @ulalaunch at @NSS #ISDC2019 🚀 #space… https://t.co/V0W5uds73P",5,20,neutral
2019-06-08 00:40:54,Skirt Kids Cute Kids Clothes Birthday Gift Toddler Wedding Party Kawai TUTU Skirts 29cm https://t.co/o0UCYv7XR1… https://t.co/IfLt8vY6Lb,0,0,positive
2019-06-08 00:40:04,"Thank you, @MikeBloomberg ! Let's fight #climatechange effects together!
Do check out @cleantechopen #startups; 150… https://t.co/xiZKItERjG",1,0,neutral
2019-06-08 00:40:00,".#TechTips 132nd - Daily post on #tech #business and #OfficeIT 

Today - Distracted at work by all your devices? It… https://t.co/oJoQwvGFTx",0,0,neutral
2019-06-08 00:39:13,"3rd Annual Hawaiʻi Small Business Conference Celebrates, Inspires #Motivation #Jobs #FutureOfWork #Tech #Culture… https://t.co/tdmv0iUjIC",1,2,negative
2019-06-08 00:38:01,"BlueJeans believes in the need to create a more gender-balanced #workplace, which is why we're proud to sponsor… https://t.co/Pm5lFJxgmq",0,0,positive
2019-06-08 00:37:25,#computers|#electronics|#bluetooth|#tech Airplane Hand Launch Throwing Glider Aircraft Inertial Foam EVA Airplane T… https://t.co/UdA8Eid9ps,0,0,neutral
2019-06-08 00:37:16,#gaming|#gamingaccessories|#tech|#computing Large Travel Polyester Bag for Nintendo Switch https://t.co/jnGQK1Uqij,0,0,positive
2019-06-08 00:36:50,"Post #WD2019 listen to @HPCanada's President and CEO, Mary Ann Yule, discuss the #PowerOfStorytelling, sharing her… https://t.co/NPzktk8bow",0,0,neutral
2019-06-08 00:36:50,"A lot of companies in the #tech space tend to search for Unicorns, Centaurs and/or some other mythological creature… https://t.co/RiRpXQUHe0",0,1,negative
2019-06-08 00:36:49,Modern #eyetracking #Tech can promis new wonders in #HumanComputerInteraction. But this technology also increases t… https://t.co/BPzSXUZqKY,0,1,positive
2019-06-08 00:36:00,"Exploring the technology, capability and purpose of drones ...

 ""err 65 we lost another one""… https://t.co/yvPLtdut2U",0,0,neutral
2019-06-08 00:34:55,"Can you recommend anyone for this job in Las Vegas, NV? https://t.co/aHkzLkgm6u #edtech #tech",1,0,neutral
2019-06-08 00:34:49,1W 3W Modern LED Wall Lamp AC85-265V Aluminum Sconce For Home Shopping Mall Bedroom Lighting Indoor Decoration Mirr… https://t.co/6tRahLWHly,0,0,positive
2019-06-08 00:34:35,"debut album out now! this is pretty good stuff.

#flub #tech #prog #deathmetal
#newmusic #newmusicfriday… https://t.co/aifEw6DxnG",0,0,positive
2019-06-08 00:33:49,"Portable Charging Dock Cradle for Samsung Galaxy Gear S Smart Watch https://t.co/7h8nylifeW
#smart|#tech|#gadgets|… https://t.co/UcexcIKYyG",0,0,positive
2019-06-08 00:33:43,#computers #electronics #bluetooth #tech Professional Network Cable Tester Lan rj45 rj11 with Wire Cable Crimper Cr… https://t.co/hyrs0un7pr,0,0,positive
2019-06-08 00:33:39,"We don't see the tremendous moving pieces behind simple buying and selling online, yet it takes serious #tech and r… https://t.co/SdMeOLdqnZ",0,4,negative
2019-06-08 00:32:21,"Top 10 Cryptocurrency Magazines, Publications &amp; Ezines To Follow In 2019 https://t.co/YwSTgPvP6L #Tech #News",0,1,positive
2019-06-08 00:32:16,#tech - Give up your password or go to jail: Police push legal boundaries to get into cellphones https://t.co/ycwf7LjaTm,0,0,positive
2019-06-08 00:31:51,"Should the government (The People) start suing telecommunication companies &amp; related industries (computers, &amp;c) for… https://t.co/EuLZhZ3yaQ",0,0,neutral
2019-06-08 00:31:44,"☀️ Hot! Tesla Opens First Public 250kW Supercharging Station In Fremont, California ☀️
#Cleantech #RenewableEnergy… https://t.co/P6jkjGIk2y",3,2,positive
2019-06-08 00:31:11,"Coroner claims woman overdosed on cannabis, scientists call bullshit - https://t.co/tqSDLqqHJh  #Tech https://t.co/pRQpHrH3Aq",0,1,neutral
2019-06-08 00:30:41,"Fintech platform Synapse raises $33M to build ‘the AWS of banking’  TechCrunch Synapse, a San Francisco-based start… https://t.co/FKlZ8vMVRY",0,1,neutral
2019-06-08 00:30:08,How you can land a 6-figure #job In #tech with no connections — tips that got me #interviews and…… https://t.co/UNp0sJ2Naw,0,1,neutral
2019-06-08 00:30:00,Learn out. Stocks Forecast An 18.8% Chance Of A Recession https://t.co/mRAajdnUWE  #BUSINESS #recession $$ $$ via… https://t.co/apsIUj2Wlh,0,0,neutral
2019-06-08 00:30:00,"Transforming Your Next Office With the IoT #CRE #Tech #CommercialRealEstate #CREtech #IoT
https://t.co/JBs3o4n0uW",0,0,neutral
2019-06-08 00:29:27,Thermaltake Tt eSPORTS Knucker Elite Multicolour Gaming Keyboard &amp; Mouse Combo | Tactile Plunger Switches | Macro R… https://t.co/iy9AceDZyr,1,1,neutral
2019-06-08 00:29:05,"Tech: What to expect from Microsoft, Nintendo, and EA: E3 2019 is ne- https://t.co/yaAeHOSpgO #tech https://t.co/q5YO5kuINM",0,0,neutral
2019-06-08 00:26:49,"☀️ No Perks Of Being A Wall (St.) Flower For FCA ☀️
#Cleantech #RenewableEnergy #technology #innovation #tech… https://t.co/NA3M2Gx49P",1,0,neutral
2019-06-08 00:26:35,"GeekWire 200 update: Digital health startups rise in the Pacific NW, fueled by enterprise tech and ...… https://t.co/xeFtfGM8G8",1,0,neutral
2019-06-08 00:26:34,"These Vintage Photos Of Men At #Computers Show We’ve Come A Long, Long Way https://t.co/7sjEu9BwXS #History #Tech https://t.co/XAbXPcBA5Z",1,2,negative
2019-06-08 00:26:25,Hunting MINOX ZV 3 4.5-14X44 BDC 400 Reticle RifleScopes Side Parallax Adjustment Long Eye Relief Tactical Optical… https://t.co/trkXeeiIXL,0,1,negative
2019-06-08 00:26:01,"""Why #Free Will Cost You a #Fortune"" - There's no such thing as a free lunch, or a free web service. So if they don… https://t.co/2MZ4q7MLF6",0,0,positive
2019-06-08 00:25:47,"I feel sick of using #Facebook

I was suggesting to eat brownies in Messenger to a friend two days ago.

Today I am… https://t.co/Dl6WAZ6AcD",0,1,negative
2019-06-08 00:25:34,"Startup Legal Business Documents: Formation Documents for Early Stage Companies
https://t.co/1ePlADorGg
#Startup #News #Tech",1,0,positive
2019-06-08 00:25:16,HTML Text Input Formatting With Cleave.js - https://t.co/0gfl9jxlzX   #Developer #node #nodejs #coding #js… https://t.co/AbDdTGrxg1,5,1,neutral
2019-06-08 00:25:04,Black female physicist pioneers technology that kills cancer cells with lasers https://t.co/FV8mQ8T4jH #innovation… https://t.co/mxqoBuWdn1,0,0,negative
2019-06-08 00:24:01,"https://t.co/PNb5tEJE0e secures investment from EDBI, Founders Fund via @techinasia #Asia #startups #tech… https://t.co/S1gzK9hIQB",0,0,neutral
2019-06-08 00:23:41,Jun 20 - BGV Pitch x #DC https://t.co/GyY9mK2H5Y #Tech #Event,0,0,neutral
2019-06-08 00:23:20,Top 15 Bowhunting Audio Podcasts &amp; Radio You Must Subscribe and Listen to in 2019 https://t.co/utRSgSS4nV #Tech #News,0,0,positive
2019-06-08 00:22:42,Deli Whiteboard Eraser Magnetic Office School Supplies Stationery 125*50*26mm Black 7834 https://t.co/db2V06I6a1… https://t.co/4cGmgBsCGv,0,0,negative
2019-06-08 00:21:55,"In a free society, businesses have a right to make policies that are consistent with their values and the law says… https://t.co/n3fhcbh2Wn",0,0,positive
2019-06-08 00:21:07,Interesting thread on the importance of #tech ecosystems. Is there a place to be other than #SiliconValley? https://t.co/JlHSM7VFFs,0,0,positive
