create at,tweet,categorize,sentiment,retweet,favorite
2019-06-07 14:11:50,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 14:11:31,Peterborough by-election: Labour beats Brexit Party to hold seat. At the end of this #bbcnews article it’s those tw… https://t.co/9eWaZoyv5J,politic,neutral,0,0
2019-06-07 14:10:35,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 14:09:23,"France 2019 Women World Cup: Kits, crowd and coaching - How women football don grow - https://t.co/bJz28gbkge Almos… https://t.co/T7dOeNiSlE",business,neutral,0,0
2019-06-07 14:04:18,"RT @LelJoyce: #bbcnews #BallVJohnson #BorisJohnson 

Marcus Ball when he heard the High Court had thrown out his private prosecution of Bor…",education,positive,4,0
2019-06-07 14:03:24,"People of Ireland. 45 is departing as I type. You are now safe.
#TrumpInIreland #BBCNews",education,positive,0,0
2019-06-07 14:00:39,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 14:00:05,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:59:39,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 13:58:35,RT @TheGraveside: @bbclaurak Is that 55 Tufton street? #R4Today #PoliticsLive  #newsnight #Marr #bbcpapers #bbcnews #bbcaq #turningpointusa…,business,neutral,3,0
2019-06-07 13:58:30,From a biologists point of view it must be clear now a divide in the human species is actually taking place and can… https://t.co/MV1RI4YEF8,politic,positive,0,0
2019-06-07 13:58:06,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:57:38,#Brexit #BrexitBetrayal #bbcnews #bbcnewsnight #BBCQT #bbctw #BBCbias #itvnews #EUelections2019    #NoDealBrexit… https://t.co/Dbi8bLL1CW,politic,neutral,0,0
2019-06-07 13:56:29,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:54:53,"Wait, an expert surgeon called Dr Strange? #BBCNews",politic,negative,0,1
2019-06-07 13:54:53,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:54:12,"#bbcnews
#BBCbias
#c4news

#Brexit #r4today

Can this week get any better.
May resigns, Labour win Bi-election and… https://t.co/hKBFMOD1EP",politic,positive,2,1
2019-06-07 13:53:19,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:51:40,"RT @LelJoyce: #bbcnews #BallVJohnson #BorisJohnson 

Marcus Ball when he heard the High Court had thrown out his private prosecution of Bor…",education,positive,4,0
2019-06-07 13:48:29,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:47:18,@liarpoliticians @daily_politics Do the #BBC/#BBCNews want us to believe that Al Gore is a hero along with Sir Davi… https://t.co/nxQFGCtmX4,education,neutral,0,0
2019-06-07 13:45:32,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:45:05,"RT @GameStarFantasy: Star Fantasy is a combat racing action packed space shooter. 16 Ships, 12 Pilots, 6 Talent Trees and Daily Bosses prov…",tech,positive,1,0
2019-06-07 13:44:58,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:43:00,"Jay-Z has become the world's first billionaire rapper! 

https://t.co/WO0DIBa2hV 

#jayz #bbcnews #businessnews #rapper #jayzandbeyonce",business,positive,0,0
2019-06-07 13:42:20,RT @garyclipson: @JamesMelville Can't wait to see this on #bbcnews tonight.,politic,neutral,4,0
2019-06-07 13:42:14,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:42:00,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:41:53,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:41:49,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:40:43,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:39:20,"Star Fantasy is a combat racing action packed space shooter. 16 Ships, 12 Pilots, 6 Talent Trees and Daily Bosses p… https://t.co/uNUACrWm6n",tech,positive,1,0
2019-06-07 13:38:47,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:38:14,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:34:54,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 13:32:44,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:32:39,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 13:32:37,The rise in homophobic attacks is why we must continue the fight for LGBT+ rights worldwide. This in the same week… https://t.co/y64lXB2HR2,politic,neutral,0,0
2019-06-07 13:31:40,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:31:35,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:31:01,"RT @liarpoliticians: So having fees for non-approved overdrafts will be capped. In other words, the #creditjunkies and #debtaholics benefit…",politic,negative,2,0
2019-06-07 13:30:49,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:30:27,RT @TheGraveside: @bbclaurak Is that 55 Tufton street? #R4Today #PoliticsLive  #newsnight #Marr #bbcpapers #bbcnews #bbcaq #turningpointusa…,business,neutral,3,0
2019-06-07 13:30:12,"#bbcNews @bbcnews #skynews @skynews #UKlabour #Guardian @UKLabour @Conservatives #Conservatives @LBC  BREXITEER:""to… https://t.co/KVIPNG6hC4",politic,neutral,0,0
2019-06-07 13:29:35,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:27:45,"Go Boris!
#BBCNews - #Brexit: #BorisJohnson £350m claim case thrown out by judges 
#ToryLeadership… https://t.co/U4OFzdhq5L",politic,neutral,0,1
2019-06-07 13:26:57,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
